"scientificname","group","basetree","Species_Name","tiplabel","gen","fam","ord","clade","higher","MSW3_sciName_matched","genes","extinct.","samp","PC"
"Acerodon celebensis","Mammals","mammaltree","Acerodon_celebensis","Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_celebensis",5,0,"sampled","PC19_Yinpterochiroptera"
"Acerodon humilis","Mammals","mammaltree","Acerodon_humilis","Acerodon_humilis_PTEROPODIDAE_CHIROPTERA","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_humilis",0,0,"imputed","PC19_Yinpterochiroptera"
"Acerodon jubatus","Mammals","mammaltree","Acerodon_jubatus","Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_jubatus",1,0,"sampled","PC19_Yinpterochiroptera"
"Acerodon leucotis","Mammals","mammaltree","Acerodon_leucotis","Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_leucotis",0,0,"imputed","PC19_Yinpterochiroptera"
"Acerodon mackloti","Mammals","mammaltree","Acerodon_mackloti","Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_mackloti",0,0,"imputed","PC19_Yinpterochiroptera"
"Aethalops aequalis","Mammals","mammaltree","Aethalops_aequalis","Aethalops_aequalis_PTEROPODIDAE_CHIROPTERA","Aethalops","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Aethalops_aequalis",2,0,"sampled","PC19_Yinpterochiroptera"
"Aethalops alecto","Mammals","mammaltree","Aethalops_alecto","Aethalops_alecto_PTEROPODIDAE_CHIROPTERA","Aethalops","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Aethalops_alecto",6,0,"sampled","PC19_Yinpterochiroptera"
"Alionycteris paucidentata","Mammals","mammaltree","Alionycteris_paucidentata","Alionycteris_paucidentata_PTEROPODIDAE_CHIROPTERA","Alionycteris","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Alionycteris_paucidentata",5,0,"sampled","PC19_Yinpterochiroptera"
"Ametrida centurio","Mammals","mammaltree","Ametrida_centurio","Ametrida_centurio_PHYLLOSTOMIDAE_CHIROPTERA","Ametrida","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Ametrida_centurio",6,0,"sampled","PC16_PhyllostomidRelated"
"Amorphochilus schnablii","Mammals","mammaltree","Amorphochilus_schnablii","Amorphochilus_schnablii_FURIPTERIDAE_CHIROPTERA","Amorphochilus","FURIPTERIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Amorphochilus_schnablii",0,0,"imputed","PC16_PhyllostomidRelated"
"Anoura canishina","Mammals","mammaltree","Anoura_canishina","Anoura_canishina_PHYLLOSTOMIDAE_CHIROPTERA","Anoura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,0,0,"imputed","PC16_PhyllostomidRelated"
"Anoura caudifer","Mammals","mammaltree","Anoura_caudifer","Anoura_caudifer_PHYLLOSTOMIDAE_CHIROPTERA","Anoura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Anoura_caudifer",11,0,"sampled","PC16_PhyllostomidRelated"
"Anoura cultrata","Mammals","mammaltree","Anoura_cultrata","Anoura_cultrata_PHYLLOSTOMIDAE_CHIROPTERA","Anoura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Anoura_cultrata",1,0,"sampled","PC16_PhyllostomidRelated"
"Anoura fistulata","Mammals","mammaltree","Anoura_fistulata","Anoura_fistulata_PHYLLOSTOMIDAE_CHIROPTERA","Anoura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,0,0,"imputed","PC16_PhyllostomidRelated"
"Anoura geoffroyi","Mammals","mammaltree","Anoura_geoffroyi","Anoura_geoffroyi_PHYLLOSTOMIDAE_CHIROPTERA","Anoura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Anoura_geoffroyi",20,0,"sampled","PC16_PhyllostomidRelated"
"Anoura latidens","Mammals","mammaltree","Anoura_latidens","Anoura_latidens_PHYLLOSTOMIDAE_CHIROPTERA","Anoura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Anoura_latidens",1,0,"sampled","PC16_PhyllostomidRelated"
"Anoura luismanueli","Mammals","mammaltree","Anoura_luismanueli","Anoura_luismanueli_PHYLLOSTOMIDAE_CHIROPTERA","Anoura","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Anoura_luismanueli",0,0,"imputed","PC16_PhyllostomidRelated"
"Anthops ornatus","Mammals","mammaltree","Anthops_ornatus","Anthops_ornatus_HIPPOSIDERIDAE_CHIROPTERA","Anthops","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Anthops_ornatus",2,0,"sampled","PC19_Yinpterochiroptera"
"Antrozous pallidus","Mammals","mammaltree","Antrozous_pallidus","Antrozous_pallidus_VESPERTILIONIDAE_CHIROPTERA","Antrozous","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Antrozous_pallidus",22,0,"sampled","PC17_VespertilionidRelated"
"Aproteles bulmerae","Mammals","mammaltree","Aproteles_bulmerae","Aproteles_bulmerae_PTEROPODIDAE_CHIROPTERA","Aproteles","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Aproteles_bulmerae",0,0,"imputed","PC19_Yinpterochiroptera"
"Ardops nichollsi","Mammals","mammaltree","Ardops_nichollsi","Ardops_nichollsi_PHYLLOSTOMIDAE_CHIROPTERA","Ardops","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Ardops_nichollsi",2,0,"sampled","PC16_PhyllostomidRelated"
"Arielulus aureocollaris","Mammals","mammaltree","Arielulus_aureocollaris","Arielulus_aureocollaris_VESPERTILIONIDAE_CHIROPTERA","Arielulus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Arielulus_aureocollaris",2,0,"sampled","PC17_VespertilionidRelated"
"Arielulus circumdatus","Mammals","mammaltree","Arielulus_circumdatus","Arielulus_circumdatus_VESPERTILIONIDAE_CHIROPTERA","Arielulus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Arielulus_circumdatus",1,0,"sampled","PC17_VespertilionidRelated"
"Arielulus cuprosus","Mammals","mammaltree","Arielulus_cuprosus","Arielulus_cuprosus_VESPERTILIONIDAE_CHIROPTERA","Arielulus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Arielulus_cuprosus",0,0,"imputed","PC17_VespertilionidRelated"
"Arielulus societatis","Mammals","mammaltree","Arielulus_societatis","Arielulus_societatis_VESPERTILIONIDAE_CHIROPTERA","Arielulus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Arielulus_societatis",0,0,"imputed","PC17_VespertilionidRelated"
"Arielulus torquatus","Mammals","mammaltree","Arielulus_torquatus","Arielulus_torquatus_VESPERTILIONIDAE_CHIROPTERA","Arielulus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Arielulus_torquatus",0,0,"imputed","PC17_VespertilionidRelated"
"Ariteus flavescens","Mammals","mammaltree","Ariteus_flavescens","Ariteus_flavescens_PHYLLOSTOMIDAE_CHIROPTERA","Ariteus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Ariteus_flavescens",3,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus amplus","Mammals","mammaltree","Artibeus_amplus","Artibeus_amplus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_amplus",2,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus concolor","Mammals","mammaltree","Artibeus_concolor","Artibeus_concolor_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_concolor",6,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus fimbriatus","Mammals","mammaltree","Artibeus_fimbriatus","Artibeus_fimbriatus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_fimbriatus",2,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus fraterculus","Mammals","mammaltree","Artibeus_fraterculus","Artibeus_fraterculus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_fraterculus",2,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus hirsutus","Mammals","mammaltree","Artibeus_hirsutus","Artibeus_hirsutus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_hirsutus",2,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus inopinatus","Mammals","mammaltree","Artibeus_inopinatus","Artibeus_inopinatus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_inopinatus",1,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus jamaicensis","Mammals","mammaltree","Artibeus_jamaicensis","Artibeus_jamaicensis_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_jamaicensis",29,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus lituratus","Mammals","mammaltree","Artibeus_lituratus","Artibeus_lituratus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_lituratus",7,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus obscurus","Mammals","mammaltree","Artibeus_obscurus","Artibeus_obscurus_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Artibeus_obscurus",4,0,"sampled","PC16_PhyllostomidRelated"
"Artibeus planirostris","Mammals","mammaltree","Artibeus_planirostris","Artibeus_planirostris_PHYLLOSTOMIDAE_CHIROPTERA","Artibeus","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,3,0,"sampled","PC16_PhyllostomidRelated"
"Asellia arabica","Mammals","mammaltree","Asellia_arabica","Asellia_arabica_HIPPOSIDERIDAE_CHIROPTERA","Asellia","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria",NA,0,0,"imputed","PC19_Yinpterochiroptera"
"Asellia patrizii","Mammals","mammaltree","Asellia_patrizii","Asellia_patrizii_HIPPOSIDERIDAE_CHIROPTERA","Asellia","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Asellia_patrizii",0,0,"imputed","PC19_Yinpterochiroptera"
"Asellia tridens","Mammals","mammaltree","Asellia_tridens","Asellia_tridens_HIPPOSIDERIDAE_CHIROPTERA","Asellia","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Asellia_tridens",8,0,"sampled","PC19_Yinpterochiroptera"
"Aselliscus stoliczkanus","Mammals","mammaltree","Aselliscus_stoliczkanus","Aselliscus_stoliczkanus_HIPPOSIDERIDAE_CHIROPTERA","Aselliscus","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Aselliscus_stoliczkanus",13,0,"sampled","PC19_Yinpterochiroptera"
"Aselliscus tricuspidatus","Mammals","mammaltree","Aselliscus_tricuspidatus","Aselliscus_tricuspidatus_HIPPOSIDERIDAE_CHIROPTERA","Aselliscus","HIPPOSIDERIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Aselliscus_tricuspidatus",4,0,"sampled","PC19_Yinpterochiroptera"
"Balantiopteryx infusca","Mammals","mammaltree","Balantiopteryx_infusca","Balantiopteryx_infusca_EMBALLONURIDAE_CHIROPTERA","Balantiopteryx","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Balantiopteryx_infusca",1,0,"sampled","PC18_EmballonuridRelated"
"Balantiopteryx io","Mammals","mammaltree","Balantiopteryx_io","Balantiopteryx_io_EMBALLONURIDAE_CHIROPTERA","Balantiopteryx","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Balantiopteryx_io",2,0,"sampled","PC18_EmballonuridRelated"
"Balantiopteryx plicata","Mammals","mammaltree","Balantiopteryx_plicata","Balantiopteryx_plicata_EMBALLONURIDAE_CHIROPTERA","Balantiopteryx","EMBALLONURIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Balantiopteryx_plicata",3,0,"sampled","PC18_EmballonuridRelated"
"Balionycteris maculata","Mammals","mammaltree","Balionycteris_maculata","Balionycteris_maculata_PTEROPODIDAE_CHIROPTERA","Balionycteris","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Balionycteris_maculata",5,0,"sampled","PC19_Yinpterochiroptera"
"Barbastella barbastellus","Mammals","mammaltree","Barbastella_barbastellus","Barbastella_barbastellus_VESPERTILIONIDAE_CHIROPTERA","Barbastella","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Barbastella_barbastellus",3,0,"sampled","PC17_VespertilionidRelated"
"Barbastella beijingensis","Mammals","mammaltree","Barbastella_beijingensis","Barbastella_beijingensis_VESPERTILIONIDAE_CHIROPTERA","Barbastella","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria",NA,2,0,"sampled","PC17_VespertilionidRelated"
"Barbastella leucomelas","Mammals","mammaltree","Barbastella_leucomelas","Barbastella_leucomelas_VESPERTILIONIDAE_CHIROPTERA","Barbastella","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Barbastella_leucomelas",3,0,"sampled","PC17_VespertilionidRelated"
"Bauerus dubiaquercus","Mammals","mammaltree","Bauerus_dubiaquercus","Bauerus_dubiaquercus_VESPERTILIONIDAE_CHIROPTERA","Bauerus","VESPERTILIONIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Bauerus_dubiaquercus",3,0,"sampled","PC17_VespertilionidRelated"
"Brachyphylla cavernarum","Mammals","mammaltree","Brachyphylla_cavernarum","Brachyphylla_cavernarum_PHYLLOSTOMIDAE_CHIROPTERA","Brachyphylla","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Brachyphylla_cavernarum",9,0,"sampled","PC16_PhyllostomidRelated"
"Brachyphylla nana","Mammals","mammaltree","Brachyphylla_nana","Brachyphylla_nana_PHYLLOSTOMIDAE_CHIROPTERA","Brachyphylla","PHYLLOSTOMIDAE","CHIROPTERA","Yangochiroptera","Laurasiatheria","Brachyphylla_nana",6,0,"sampled","PC16_PhyllostomidRelated"
"Cardioderma cor","Mammals","mammaltree","Cardioderma_cor","Cardioderma_cor_MEGADERMATIDAE_CHIROPTERA","Cardioderma","MEGADERMATIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Cardioderma_cor",1,0,"sampled","PC19_Yinpterochiroptera"
